// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
09255	0	8.216459	0.105252	5.965385	-0.023899	0.007508	0.341448	0.005372	0.013364	0.000149	-0.291992	0.073486	-0.806396	0.082169	0.001051	0.059648	1.000000	0.000027	0.000067	0.000001	0.574811	-0.112109	0.810570	0.177720	0.984030	0.010071	-0.798754	0.138266	0.585555
09256	0	8.230954	0.087693	5.959523	-0.012885	-0.012699	0.349590	0.006320	0.010149	0.001257	-0.287598	0.073486	-0.801758	0.082313	0.000876	0.059591	1.000000	0.000032	0.000051	0.000006	0.574894	-0.112110	0.810511	0.177663	0.984040	0.010097	-0.798707	0.138193	0.585637
09257	0	8.168355	0.138882	5.950407	-0.032070	0.043565	0.294029	0.004846	0.004622	0.001577	-0.291992	0.071289	-0.804199	0.081685	0.001388	0.059502	1.000000	0.000024	0.000023	0.000008	0.574912	-0.112066	0.810504	0.177621	0.984048	0.010071	-0.798703	0.138172	0.585646
09258	0	8.180709	0.110741	5.966159	-0.041810	0.016409	0.312988	0.002868	0.010700	0.000930	-0.287598	0.073486	-0.799561	0.081810	0.001107	0.059657	1.000000	0.000014	0.000053	0.000005	0.574999	-0.112072	0.810442	0.177593	0.984052	0.010079	-0.798647	0.138133	0.585733
09259	0	8.167335	0.139098	5.951802	-0.032250	0.043834	0.294028	-0.000942	0.008301	-0.001707	-0.291992	0.073242	-0.797119	0.081676	0.001391	0.059515	1.000000	-0.000005	0.000042	-0.000009	0.575049	-0.112074	0.810406	0.177602	0.984051	0.010065	-0.798609	0.138142	0.585782
09260	0	8.164447	0.128764	5.974431	-0.053004	0.036887	0.304843	-0.000943	0.008301	-0.001707	-0.287598	0.071289	-0.806396	0.081647	0.001287	0.059741	1.000000	-0.000005	0.000042	-0.000009	0.575112	-0.112102	0.810357	0.177620	0.984048	0.010073	-0.798560	0.138142	0.585849
09261	0	8.149822	0.136711	5.922917	-0.018201	0.039106	0.262895	-0.000428	0.006870	-0.001938	-0.292236	0.077881	-0.799805	0.081500	0.001366	0.059226	1.000000	-0.000002	0.000034	-0.000010	0.575159	-0.112116	0.810322	0.177625	0.984047	0.010076	-0.798525	0.138138	0.585898
09262	0	8.147084	0.126352	5.945337	-0.038957	0.032158	0.273711	-0.001463	0.004646	-0.000878	-0.289795	0.073486	-0.804199	0.081472	0.001264	0.059451	1.000000	-0.000007	0.000023	-0.000004	0.575194	-0.112131	0.810295	0.177642	0.984044	0.010075	-0.798496	0.138148	0.585935
09263	0	8.196286	0.103674	5.940154	-0.010356	0.003868	0.310314	0.001469	0.000440	0.000279	-0.287598	0.071289	-0.806396	0.081963	0.001036	0.059401	1.000000	0.000007	0.000002	0.000001	0.575190	-0.112118	0.810300	0.177656	0.984041	0.010049	-0.798495	0.138174	0.585929
09264	0	8.213923	0.096267	5.911332	0.021406	-0.009382	0.307643	-0.000954	-0.001871	-0.000510	-0.290039	0.075684	-0.804199	0.082139	0.000963	0.059114	1.000000	-0.000005	-0.000009	-0.000003	0.575174	-0.112120	0.810311	0.177667	0.984039	0.010047	-0.798505	0.138187	0.585914
09265	0	8.232966	0.109384	5.919444	0.028215	0.002505	0.327959	-0.000792	-0.001166	-0.003650	-0.292236	0.075684	-0.799561	0.082329	0.001093	0.059195	1.000000	-0.000004	-0.000006	-0.000018	0.575171	-0.112153	0.810309	0.177704	0.984033	0.010061	-0.798498	0.138208	0.585917
09266	0	8.245642	0.081335	5.934756	0.018470	-0.024644	0.346919	0.000087	0.005439	-0.002169	-0.287842	0.077881	-0.802002	0.082458	0.000812	0.059345	1.000000	0.000000	0.000027	-0.000011	0.575210	-0.112181	0.810277	0.177716	0.984030	0.010078	-0.798467	0.138202	0.585961
09267	0	8.232469	0.109761	5.920128	0.028149	0.002969	0.327959	-0.000428	0.006870	-0.001938	-0.290039	0.080078	-0.797363	0.082327	0.001097	0.059198	1.000000	-0.000002	0.000034	-0.000010	0.575252	-0.112195	0.810245	0.177768	0.984021	0.010047	-0.798426	0.138256	0.586005
09268	0	8.231786	0.109916	5.921075	0.028145	0.002989	0.327959	-0.004742	0.016076	-0.005543	-0.292236	0.075684	-0.802002	0.082323	0.001098	0.059204	1.000000	-0.000024	0.000080	-0.000028	0.575370	-0.112271	0.810151	0.177839	0.984008	0.010062	-0.798325	0.138287	0.586135
09269	0	8.230912	0.109778	5.922292	0.027835	0.003589	0.327960	-0.001778	0.013408	0.004204	-0.290039	0.075684	-0.806641	0.082313	0.001100	0.059217	1.000000	-0.000009	0.000067	0.000021	0.575454	-0.112229	0.810097	0.177879	0.984002	0.009964	-0.798256	0.138366	0.586211
09270	0	8.208960	0.086202	5.936829	0.000434	-0.015130	0.318461	-0.000428	0.006871	-0.001939	-0.285400	0.075684	-0.797363	0.082092	0.000861	0.059365	1.000000	-0.000002	0.000034	-0.000010	0.575504	-0.112256	0.810058	0.177896	0.983999	0.009974	-0.798216	0.138366	0.586265
09271	0	8.193495	0.104123	5.943996	-0.010471	0.005351	0.310314	0.000954	0.001871	0.000510	-0.287842	0.077881	-0.802002	0.081936	0.001041	0.059439	1.000000	0.000005	0.000009	0.000003	0.575526	-0.112247	0.810044	0.177912	0.983996	0.009947	-0.798196	0.138392	0.586285
09272	0	8.174532	0.091157	5.935766	-0.017113	-0.006416	0.289999	0.000515	-0.001431	-0.000231	-0.287842	0.077881	-0.799805	0.081745	0.000911	0.059358	1.000000	0.000003	-0.000007	-0.000001	0.575513	-0.112246	0.810053	0.177912	0.983996	0.009948	-0.798206	0.138393	0.586272
09273	0	8.180657	0.132521	5.928904	-0.000591	0.033087	0.291348	0.001035	0.002224	-0.001060	-0.289795	0.075684	-0.799561	0.081807	0.001324	0.059288	1.000000	0.000005	0.000011	-0.000005	0.575534	-0.112247	0.810038	0.177965	0.983987	0.009907	-0.798179	0.138457	0.586294
09274	0	8.190792	0.093909	5.966350	-0.031098	-0.000964	0.321130	-0.000510	0.006518	-0.000369	-0.292236	0.080078	-0.797363	0.081910	0.000939	0.059661	1.000000	-0.000003	0.000033	-0.000002	0.575585	-0.112258	0.810000	0.177975	0.983985	0.009902	-0.798140	0.138460	0.586346
09275	0	8.194230	0.124769	5.981824	-0.035884	0.031685	0.333292	0.001907	0.003743	0.001020	-0.285400	0.073486	-0.804199	0.081943	0.001248	0.059817	1.000000	0.000010	0.000019	0.000005	0.575576	-0.112232	0.810010	0.178005	0.983980	0.009850	-0.798139	0.138516	0.586334
09276	0	8.192468	0.104474	5.945405	-0.010768	0.006671	0.310312	0.000092	0.010526	-0.002769	-0.287842	0.077881	-0.813721	0.081928	0.001044	0.059450	1.000000	0.000000	0.000053	-0.000014	0.575654	-0.112271	0.809949	0.178024	0.983977	0.009867	-0.798079	0.138510	0.586417
09277	0	8.190680	0.084087	5.909032	0.015057	-0.018287	0.287333	0.001310	0.004821	0.002820	-0.287598	0.073486	-0.799561	0.081908	0.000842	0.059088	1.000000	0.000007	0.000024	0.000014	0.575750	-0.112267	0.809882	0.178043	0.983974	0.009828	-0.798006	0.138536	0.586511
09278	0	8.209407	0.097115	5.917588	0.021699	-0.006419	0.307645	0.002504	0.002664	-0.000781	-0.285400	0.075684	-0.802002	0.082095	0.000970	0.059175	1.000000	0.000013	0.000013	-0.000004	0.575769	-0.112276	0.809867	0.178032	0.983975	0.009843	-0.797994	0.138515	0.586532
09279	0	8.224496	0.079469	5.910947	0.032967	-0.026592	0.315794	0.004405	0.001321	0.000838	-0.290039	0.077881	-0.804443	0.082245	0.000794	0.059109	1.000000	0.000022	0.000007	0.000004	0.575802	-0.112270	0.809844	0.177999	0.983981	0.009853	-0.797978	0.138478	0.586562
09280	0	8.225716	0.099999	5.948096	0.007852	-0.001452	0.338775	0.003809	0.002399	0.002639	-0.291992	0.073486	-0.804199	0.082258	0.001000	0.059480	1.000000	0.000019	0.000012	0.000013	0.575826	-0.112245	0.809831	0.177958	0.983989	0.009848	-0.797970	0.138445	0.586581
09281	0	8.204108	0.076644	5.962137	-0.019898	-0.019828	0.329282	0.004329	0.006054	0.001808	-0.287842	0.080078	-0.804443	0.082043	0.000766	0.059619	1.000000	0.000022	0.000030	0.000009	0.575845	-0.112225	0.809820	0.177945	0.983991	0.009829	-0.797959	0.138444	0.586597
